DESPESA_ID,INFORMACAO_EXTRA_ID
2045,24
2045,25
2046,26
2046,27
2046,28
2047,29
2047,30
2047,31
2048,32
2049,52
2049,53
2050,35
2050,36
2051,37
2051,38
2051,39
2052,40
2053,43
2053,44
2054,45
2054,46
2055,47
2056,48
2057,49
2058,54
2059,55
2059,56
2060,57
2061,58
2061,59
2062,60
2063,61
2063,62
2064,63
2065,64
2065,65
2066,66
2067,67
2068,68
2069,69
2069,70
2070,79
2070,80
2070,81
2070,82
2071,83
2071,84
2072,85
2072,86
2073,87
2073,88
2074,89
2074,90
2075,91
2075,92
2076,93
2076,94
2077,95
2077,96
2078,97
2078,98
2082,99
2082,100
2082,101
2082,102
2085,103
2086,104
2086,105
2088,106
2088,107
2089,108
2089,109
2090,110
2091,111
2091,112
2091,113
2092,114
2093,115
2094,116
2094,117
2095,118
2095,119
2095,120
2096,121
2097,122
2097,123
2098,124
2098,125
2099,126
2100,127
2100,128
2100,129
2101,130
2102,131
2102,132
2102,133
2103,134
2103,135
2103,136
2103,137
2104,138
2105,139
2105,140
2106,141
2106,142
2107,143
2107,144
2109,145
2110,146
2111,158
2111,159
2112,154
2112,155
2112,156
2112,157
2113,152
2113,153
2114,160
2115,161
2115,162
2116,163
2116,164
2116,165
2119,166
2119,167
2119,168
2120,169
2120,170
2120,171
2121,172
2123,173
2124,174
2125,175
2126,176
2126,177
2126,178
2127,179
2128,180
2129,181
2129,182
2130,183
2131,184
2132,185
2133,186
2133,187
2134,188
2134,189
2135,190
2136,191
2136,192
2137,193
2137,194
2138,195
2138,196
2139,197
2139,198
2139,199
2140,200
2141,201
2142,202
2143,203
2143,204
2143,205
2144,206
2145,207
2145,208
2146,209
2147,210
2147,211
2148,212
2149,213
2150,214
2151,215
2152,216
2153,217
2153,218
2154,219
2154,220
2155,221
2155,222
2156,223
2156,224
2157,225
2158,226
2160,227
2160,228
2160,229
2161,230
2162,231
2163,232
2164,233
2164,234
2165,235
2165,236
2166,237
2166,238
2167,239
2167,240
2168,241
2168,242
2169,243
2171,244
2171,245
2173,246
2173,247
2173,248
2174,249
2174,250
2175,251
2175,252
2176,253
2176,254
2177,255
2177,256
2178,257
2178,258
2179,259
2179,260
2180,261
2180,262
2181,263
2181,264
2183,265
2184,266
2184,267
2184,268
2185,269
2186,270
2186,271
2187,272
2188,273
2189,274
2189,275
2190,276
2191,277
2192,278
2193,279
2193,280
2193,281
2193,282
2193,283
2193,284
2194,285
2195,286
2196,287
2196,288
2196,289
2197,290
2198,291
2198,292
2199,293
2199,294
2199,295
2200,296
2200,297
2201,316
2202,299
2204,302
2205,313
2205,314
2205,315
2206,317
2206,318
2206,319
2206,320
2206,321
2207,322
2207,323
2208,324
2208,325
2208,326
2209,332
2209,333
2210,328
2210,329
2211,330
2211,331
2212,334
2212,335
2212,336
2212,337
2213,338
2213,339
2213,340
2214,341
2214,342
2214,343
2215,344
2215,345
2216,346
2218,347
2219,348
2219,349
2220,350
2221,353
2221,354
2221,355
2222,356
2222,357
2223,358
2224,359
2224,360
2225,361
2225,362
2226,363
2226,364
2227,365
2227,366
2228,367
2228,368
2228,369
2229,370
2229,371
2229,372
2230,373
2230,374
2230,375
2231,376
2231,377
2232,378
2233,379
2234,380
2235,381
2235,382
2236,383
2236,384
2237,385
2237,386
2238,387
2238,388
2239,389
2239,390
2240,391
2240,392
2241,393
2241,394
2241,395
2242,396
2242,397
2242,398
2243,399
2243,400
2243,401
2244,592
2244,593
2244,594
2245,409
2245,410
2246,407
2246,408
2247,411
2247,412
2247,413
2249,416
2250,417
2250,418
2250,419
2251,420
2251,421
2251,422
2251,423
2251,424
2251,425
2252,440
2252,441
2252,442
2253,429
2253,430
2253,431
2254,432
2254,433
2255,434
2256,435
2256,436
2257,443
2258,444
2258,445
2258,446
2259,447
2259,448
2259,449
2260,450
2260,451
2260,452
2261,453
2261,454
2262,455
2262,456
2262,457
2262,458
2262,459
2263,460
2263,461
2263,462
2264,463
2264,464
2264,465
2265,466
2265,467
2266,468
2267,469
2267,470
2267,471
2268,472
2269,473
2269,474
2269,475
2270,476
2270,477
2270,478
2271,479
2271,480
2272,481
2272,482
2272,483
2273,484
2273,485
2274,486
2275,487
2276,488
2276,489
2277,490
2278,491
2278,492
2278,493
2279,494
2279,495
2279,496
2281,500
2281,501
2281,502
2282,503
2282,504
2282,505
2283,506
2284,507
2284,508
2284,509
2285,510
2285,511
2286,512
2287,513
2287,514
2288,515
2288,516
2288,517
