ID,DATA,DATA_LACAMENTO,OBS,VALOR,FORMA_PAGAMENTO_ID,FORNECEDOR_ID,TIPO_DESPESA_ID
38,2011-12-29,2018-12-27 23:06:00,,9.00,2,43,3
42,2011-12-22,2018-12-27 23:06:00,paulistao,22.78,2,8,12
43,2011-12-24,2018-12-27 23:06:00,filezin bauru,41.57,2,624,3
44,2011-12-23,2018-12-27 23:06:00,presente mãe,7.90,2,27,20
45,2011-12-23,2018-12-27 23:06:00,,3.50,3,43,8
48,2011-12-24,2018-12-27 23:06:00,presente natal carlos henrique,23.50,2,43,20
49,2011-12-25,2018-12-27 23:06:00,,32.25,2,31,3
50,2011-12-22,2018-12-27 23:06:00,,7.50,2,43,3
51,2011-12-24,2018-12-27 23:06:00,,8.40,3,2,4
52,2011-12-24,2018-12-27 23:06:00,,20.00,2,43,1
53,2011-12-24,2018-12-27 23:06:00,,40.00,5,43,1
55,2011-12-26,2018-12-27 23:06:00,,30.06,2,14,1
56,2011-12-19,2018-12-27 23:06:00,,8.40,3,2,4
57,2011-12-19,2018-12-27 23:06:00,,30.00,2,14,1
58,2011-12-13,2018-12-27 23:06:00,,1.20,3,43,8
59,2011-12-17,2018-12-27 23:06:00,,14.50,2,31,3
60,2011-12-12,2018-12-27 23:06:00,,8.40,3,2,4
61,2011-12-16,2018-12-27 23:06:00,,1.20,3,43,8
62,2011-12-17,2018-12-27 23:06:00,,12.00,3,22,11
63,2011-12-14,2018-12-27 23:06:00,,5.98,2,30,12
64,2011-12-13,2018-12-27 23:06:00,,12.59,2,30,12
65,2011-12-16,2018-12-27 23:06:00,,60.00,5,43,1
66,2011-12-16,2018-12-27 23:06:00,,7.50,2,43,3
67,2011-12-13,2018-12-27 23:06:00,,30.00,5,43,1
68,2011-12-15,2018-12-27 23:06:00,,5.00,2,43,3
69,2011-12-15,2018-12-27 23:06:00,,23.00,2,29,3
70,2011-12-29,2018-12-27 23:06:00,farmacia carol,16.79,2,43,19
71,2011-12-29,2018-12-27 23:06:00,,15.00,2,23,3
72,2011-12-29,2018-12-27 23:06:00,,3.50,3,43,8
73,2011-12-29,2018-12-27 23:06:00,,8.00,2,23,3
358,2011-11-21,2018-12-27 23:06:00,,8.40,3,2,4
362,2011-11-19,2018-12-27 23:06:00,,61.50,2,43,1
363,2011-11-19,2018-12-27 23:06:00,,8.40,3,2,4
370,2011-11-26,2018-12-27 23:06:00,,61.80,2,43,1
371,2011-11-26,2018-12-27 23:06:00,,8.97,2,43,3
372,2011-11-26,2018-12-27 23:06:00,,8.40,3,2,4
373,2012-01-02,2018-12-27 23:06:00,,8.40,3,2,4
374,2011-12-30,2018-12-27 23:06:00,,60.00,2,43,1
375,2011-12-30,2018-12-27 23:06:00,,8.40,3,2,4
376,2011-12-29,2018-12-27 23:06:00,,1.20,3,43,8
377,2011-12-26,2018-12-27 23:06:00,,8.40,3,2,4
380,2011-12-29,2018-12-27 23:06:00,,11.57,2,43,12
381,2011-12-29,2018-12-27 23:06:00,presente carol sanbonete,14.90,2,43,20
382,2012-01-04,2018-12-27 23:06:00,,30.00,2,43,1
383,2012-01-04,2018-12-27 23:06:00,,5.00,2,43,3
384,2012-01-05,2018-12-27 23:06:00,biscoisto polvilho carol ,3.00,3,4,3
385,2012-01-04,2018-12-27 23:06:00,,26.50,2,43,3
386,2012-01-05,2018-12-27 23:06:01,,32.60,5,32,3
387,2012-01-04,2018-12-27 23:06:01,,1.20,3,43,8
388,2012-01-06,2018-12-27 23:06:01,,25.35,5,43,3
389,2012-01-05,2018-12-27 23:06:01,,34.64,2,115,3
390,2012-01-08,2018-12-27 23:06:01,,12.00,3,43,21
391,2012-01-07,2018-12-27 23:06:01,,30.00,2,35,3
392,2012-01-07,2018-12-27 23:06:01,,8.40,3,2,4
393,2012-01-07,2018-12-27 23:06:01,,60.00,5,43,1
394,2012-01-06,2018-12-27 23:06:01,,4.50,3,43,8
395,2012-01-06,2018-12-27 23:06:01,,6.00,2,23,3
396,2012-01-07,2018-12-27 23:06:01,,29.60,2,276,3
397,2012-01-10,2018-12-27 23:06:01,,33.50,5,1,3
398,2012-01-10,2018-12-27 23:06:01,,8.00,2,23,3
399,2012-01-10,2018-12-27 23:06:01,,3.50,3,43,8
400,2012-01-06,2018-12-27 23:06:01,,24.00,2,23,11
401,2012-01-11,2018-12-27 23:06:01,,5.00,3,43,3
402,2012-01-12,2018-12-27 23:06:01,,5.00,3,43,3
403,2012-01-11,2018-12-27 23:06:01,,70.00,3,43,10
406,2012-01-20,2018-12-27 23:06:01,,8.40,3,2,4
407,2012-01-20,2018-12-27 23:06:01,,30.00,5,43,1
408,2012-01-19,2018-12-27 23:06:01,,31.80,2,1,3
409,2012-01-20,2018-12-27 23:06:01,passagem Carol,12.95,2,28,7
410,2012-01-19,2018-12-27 23:06:01,,5.00,3,23,8
411,2012-01-17,2018-12-27 23:06:01,,30.00,2,43,1
412,2012-01-16,2018-12-27 23:06:01,,8.40,3,2,4
413,2012-01-13,2018-12-27 23:06:01,,8.40,3,2,4
414,2012-01-09,2018-12-27 23:06:01,,8.40,3,2,4
