ID,DATA,PARCELA,TOTAL_PARCELAS,VALOR,FORNECEDOR_ID
6,2019-01-25,1,4,42.25,809
7,2019-01-25,0,0,89.99,506
8,2019-01-25,0,0,180.00,819
9,2019-01-25,0,0,180.00,819
10,2019-01-25,0,0,100.00,791
11,2019-01-25,1,10,45.00,810
14,2019-01-25,2,3,145.29,819
15,2019-01-25,12,12,118.25,820
16,2019-01-25,3,10,41.00,821
17,2019-02-25,4,10,41.00,821
18,2019-02-25,3,6,145.29,819
19,2019-02-25,2,4,42.25,809
20,2019-02-25,2,10,45.00,810
21,2019-02-25,0,0,89.99,506
22,2019-02-25,0,0,100.00,791
23,2019-02-25,0,0,100.00,791
24,2019-02-25,0,0,16.70,825
25,2019-03-25,0,0,46.00,49
26,2019-03-25,0,0,7.00,828
27,2019-03-25,0,0,19.00,3
28,2019-03-25,0,0,60.00,65
29,2019-03-25,0,0,19.00,765
30,2019-03-25,0,0,50.73,4
31,2019-03-25,0,0,9.50,3
32,2019-03-25,0,0,50.00,758
33,2019-03-25,0,0,4.98,59
34,2019-03-25,0,0,13.00,767
35,2019-03-25,0,0,9.50,3
36,2019-03-25,0,0,14.00,777
37,2019-03-25,0,0,19.00,3
38,2019-03-25,0,0,15.00,533
39,2019-03-25,0,0,16.00,777
40,2019-03-25,0,0,13.00,767
41,2019-03-25,0,0,8.00,3
42,2019-03-25,0,0,8.00,827
43,2019-03-25,1,3,32.28,827
44,2019-03-25,0,0,100.00,829
45,2019-03-25,0,0,57.25,668
46,2019-03-25,0,0,60.01,758
47,2019-03-25,0,0,17.00,830
48,2019-03-25,5,10,41.00,821
49,2019-03-25,4,6,145.29,819
50,2019-03-25,3,4,42.25,809
51,2019-03-25,3,10,45.00,810
52,2019-03-25,0,0,89.99,506
53,2019-03-25,0,0,100.00,791
54,2019-03-25,0,0,6.67,825
55,2019-04-25,6,10,41.00,821
56,2019-04-25,5,6,145.29,819
57,2019-04-25,4,4,42.25,809
58,2019-04-25,4,10,45.00,810
59,2019-04-25,0,0,100.00,791
60,2019-04-25,0,0,46.00,836
61,2019-04-25,2,3,32.26,827
62,2019-04-25,0,0,13.00,767
63,2019-04-25,0,0,15.70,3
64,2019-04-25,0,0,14.00,777
65,2019-04-25,0,0,16.00,777
66,2019-04-25,0,0,12.80,3
67,2019-04-25,0,0,30.97,4
68,2019-04-25,0,0,14.00,777
69,2019-04-25,0,0,19.00,3
70,2019-04-25,0,0,9.00,3
71,2019-04-25,0,0,20.00,3
72,2019-04-25,0,0,50.00,12
73,2019-04-25,0,0,9.50,3
74,2019-04-25,0,0,49.00,836
75,2019-04-25,0,0,6.99,835
76,2019-04-25,0,0,40.96,70
77,2019-04-25,0,0,16.00,777
78,2019-04-25,0,0,14.00,777
79,2019-04-25,0,0,10.00,6
80,2019-04-25,0,0,12.90,27
81,2019-04-25,0,0,9.50,3
82,2019-04-25,1,2,30.00,838
83,2018-11-03,10,10,41.00,821
84,2019-01-10,8,10,45.00,810
85,2019-07-15,0,0,100.00,791
86,2019-07-16,1,4,38.49,863
87,2019-07-16,0,0,89.99,506
88,2019-08-11,0,0,100.00,791
89,2019-08-12,0,0,6.99,825
90,2018-11-02,9,10,41.00,821
91,2019-01-09,7,10,45.00,810
92,2019-06-15,0,0,89.99,506
93,2019-06-20,0,0,100.00,791
94,2019-07-09,0,0,6.99,825
95,2019-04-25,3,3,71.08,864
96,2018-11-02,8,10,41.00,821
97,2019-01-09,6,10,45.00,810
98,2019-07-24,2,3,71.10,864
99,2019-05-15,0,0,89.99,506
100,2019-05-20,0,0,100.00,791
101,2019-06-09,0,0,6.87,825
111,2019-11-03,7,10,41.00,821
112,2019-11-20,6,6,145.29,819
113,2019-01-10,5,10,45.00,810
114,2019-04-16,0,0,89.99,506
115,2019-04-17,0,0,23.99,866
116,2019-04-21,0,0,100.00,791
117,2019-04-25,1,3,71.10,864
118,2019-05-03,0,0,39.16,867
119,2019-05-10,0,0,6.67,825
120,2019-06-08,0,0,35.00,865
126,2019-07-28,0,0,10.00,868
127,2019-07-28,0,0,52.99,105
128,2019-07-30,0,0,10.00,868
129,2019-08-01,0,0,16.00,777
130,2019-08-01,0,0,141.11,114
131,2019-08-06,0,0,26.75,847
132,2019-08-15,0,0,10.00,868
133,2019-08-16,0,0,46.50,770
134,2019-08-02,0,0,28.00,869
135,2019-08-05,0,0,35.00,870
136,2019-06-21,0,0,10.00,868
137,2016-06-26,0,0,16.47,845
138,2019-06-27,0,0,16.00,777
139,2019-06-28,0,0,48.50,770
140,2019-06-28,0,0,18.64,845
141,2019-06-28,0,0,50.00,725
142,2019-06-28,0,0,10.00,868
143,2019-06-30,0,0,30.90,20
144,2019-06-30,0,0,16.16,17
145,2019-06-30,0,0,24.00,727
146,2019-07-01,0,0,20.53,845
147,2019-07-01,0,0,50.00,137
148,2019-07-02,0,0,16.88,846
149,2019-07-03,0,0,16.00,777
150,2019-07-04,0,0,17.50,32
151,2019-07-05,0,0,17.42,845
152,2019-07-05,0,0,32.00,840
153,2019-07-07,0,0,73.70,60
154,2019-07-07,0,0,20.00,868
155,2019-07-07,0,0,100.78,70
156,2019-07-07,0,0,19.50,4
157,2019-07-07,0,0,76.00,258
158,2019-07-08,0,0,13.80,20
159,2019-07-08,0,0,18.64,845
160,2019-07-08,0,0,44.01,115
161,2019-07-09,0,0,45.40,212
162,2019-07-09,0,0,28.00,854
163,2019-07-09,0,0,4.50,101
164,2019-07-11,0,0,10.00,849
165,2019-07-08,0,0,46.00,871
166,2019-07-08,0,0,6.00,872
167,2019-05-18,0,0,16.00,777
168,2019-05-20,0,0,16.00,777
169,2019-05-20,0,0,67.08,841
170,2019-05-20,0,0,46.00,840
171,2019-05-20,0,0,50.00,129
172,2019-05-21,0,0,13.50,3
173,2019-05-21,0,0,14.00,777
174,2019-05-21,0,0,14.00,777
175,2019-05-22,0,0,15.00,714
176,2019-05-22,0,0,10.50,3
177,2019-05-23,0,0,19.00,3
178,2019-05-24,0,0,14.90,31
179,2019-05-27,0,0,40.00,865
180,2019-06-01,0,0,43.00,842
181,2019-06-03,0,0,43.00,770
182,2019-04-18,0,0,32.26,827
183,2019-04-18,0,0,30.00,838
184,2019-04-19,0,0,16.00,777
185,2019-04-20,0,0,14.00,777
186,2019-04-20,0,0,5.00,776
187,2019-04-20,0,0,16.90,103
188,2019-04-23,0,0,14.00,777
189,2019-04-27,0,0,4.50,3
190,2019-04-27,0,0,33.00,865
191,2019-04-29,0,0,50.00,302
192,2019-07-29,0,0,18.50,727
193,2019-05-01,0,0,20.90,836
194,2019-05-02,0,0,39.60,30
195,2019-05-04,0,0,59.00,105
196,2019-05-06,0,0,44.00,865
197,2019-05-11,0,0,14.00,777
198,2019-05-11,0,0,20.90,836
199,2019-05-13,0,0,40.00,865
200,2019-01-10,9,10,45.00,810
201,2019-07-15,2,4,38.49,863
202,2019-08-16,0,0,89.99,506
203,2019-09-06,0,0,100.00,791
204,2019-09-10,0,0,6.99,825
205,2019-08-18,0,0,6.80,151
206,2019-08-18,0,0,116.00,12
207,2019-08-23,0,0,57.20,105
208,2019-08-25,0,0,53.00,865
209,2019-08-28,0,0,16.00,777
210,2019-08-30,0,0,52.99,105
211,2019-08-30,0,0,9.00,849
212,2019-08-30,0,0,47.50,770
213,2019-09-01,0,0,30.29,4
214,2019-09-01,0,0,10.00,868
215,2019-09-01,0,0,17.80,149
216,2019-09-01,0,0,46.00,865
217,2019-09-02,0,0,50.00,758
218,2019-09-05,0,0,16.00,777
219,2019-09-06,0,0,10.00,868
220,2019-09-17,0,0,99.99,733
221,2019-09-16,0,0,5.00,878
222,2019-01-10,10,10,45.00,810
223,2019-07-16,3,4,38.47,863
224,2019-09-12,1,6,124.20,819
225,2019-09-16,0,0,89.99,506
226,2019-09-17,1,3,78.34,799
227,2019-10-06,0,0,100.00,791
228,2019-10-10,10,10,6.99,825
229,2019-07-15,4,4,38.47,758
230,2019-09-11,2,6,124.16,819
231,2019-09-16,2,3,78.33,799
232,2019-10-15,0,0,89.99,506
233,2019-10-25,0,0,100.00,791
234,2019-11-10,0,0,6.99,825
235,2019-09-11,3,6,124.16,819
236,2019-09-16,3,3,78.33,799
237,2019-11-15,0,0,89.99,506
238,2019-11-29,0,0,100.00,791
239,2019-12-09,0,0,6.99,825
