ID,CANCELADO,CODIGO_BARRA,DATA_LANCAMENTO,DATA_PAGAMENTO,EMISSAO,ID_CANCELAMENTO,NUMERO,OBS,PARCELA,TOTAL_PARCELAS,VALOR,VALOR_PAGO,VENCIMENTO,FORMA_PAGAMENTO_ID,TIPO_CONTA_ID
28,false,000,2018-12-27 23:05:50,2011-12-01,2011-11-22,0,000,,0,0,271.00,271.00,2011-12-07,6,4
29,false,000,2018-12-27 23:05:50,2011-12-26,2011-12-12,0,000,,0,0,45.54,45.54,2011-12-22,7,1
30,false,000,2018-12-27 23:05:50,2011-12-13,2011-12-13,0,000,,0,0,481.00,481.00,2011-12-13,6,2
31,false,000,2018-12-27 23:05:50,2012-01-13,2011-01-21,0,000,,0,0,481.00,481.00,2012-01-13,6,2
32,false,000,2018-12-27 23:05:50,2011-12-26,2011-12-14,0,000,otinas diniz 7/10 saraiva hd externo 1/3 ,7,10,65.73,65.73,2011-12-25,6,48
33,false,000,2018-12-27 23:05:50,2011-12-26,2011-12-07,0,000,,0,0,32.90,32.90,2011-12-25,6,9
34,false,000,2018-12-27 23:05:50,2011-12-26,2011-12-07,0,000,,0,0,27.00,27.00,2011-12-25,6,5
35,false,000,2018-12-27 23:05:50,2011-12-26,2011-12-25,0,000,,15,15,74.34,74.34,2011-12-25,6,49
36,false,000,2018-12-27 23:05:50,2011-12-26,2011-12-25,0,000,,0,0,53.51,53.51,2011-12-25,6,3
37,false,000,2018-12-27 23:05:50,2012-01-06,2012-01-06,0,000,,0,0,271.00,271.00,2012-01-06,6,4
38,false,000,2018-12-27 23:05:50,2011-12-26,2009-07-27,0,000,,29,42,426.32,426.32,2011-12-25,6,10
39,false,000,2018-12-27 23:05:50,2012-01-25,2009-07-27,0,000,,30,42,426.32,426.32,2012-01-27,4,10
42,false,,2018-12-27 23:05:51,2012-01-12,2012-01-12,0,066623,IPVA 20212 PAGO COM DESCONTO TERMINAL 0000153,1,1,666.91,646.91,2012-01-12,7,6
47,false,000,2018-12-27 23:05:51,2012-01-25,2012-01-07,0,000,pago cartão de crédito,0,0,27.00,27.00,2012-01-29,6,5
48,false,000,2018-12-27 23:05:51,2012-01-25,2012-01-07,0,000,pago cartão de crédito,0,0,32.90,32.90,2012-01-29,6,9
49,false,000,2018-12-27 23:05:51,2012-01-25,2012-01-25,0,000,,0,0,38.14,38.14,2012-01-25,6,3
50,false,000,2018-12-27 23:05:51,2012-01-25,2012-01-13,0,000,oticas diniz 08/10 livro 02/03 hd externo 01/10 vestido carol presente 01/02,0,0,137.13,137.13,2012-01-25,6,48
51,false,000,2018-12-27 23:05:51,2012-01-25,2012-01-05,0,000,,0,0,45.06,45.06,2012-01-23,6,1
53,false,000,2018-12-27 23:05:51,2012-02-27,2009-07-27,0,000,,31,42,426.32,426.32,2012-02-27,6,10
54,false,000,2018-12-27 23:05:51,2012-03-27,2009-07-27,0,000,,32,42,426.32,426.32,2012-03-27,6,10
55,false,000,2018-12-27 23:05:51,2012-04-25,2009-07-27,0,000,,33,42,426.32,426.32,2012-04-27,4,10
56,false,000,2018-12-27 23:05:51,2012-05-09,2009-07-27,0,000,pago com com a quitação total dia 05/09/2012,34,42,426.32,426.32,2012-05-27,3,10
57,false,000,2018-12-27 23:05:51,2012-05-09,2009-07-27,0,000,pago com com a quitação total dia 05/09/2012,35,42,426.32,426.32,2012-06-27,3,10
75,false,000,2018-12-27 23:05:51,2012-02-22,2012-02-04,0,000,,0,0,51.66,51.66,2012-02-22,6,1
76,false,000,2018-12-27 23:05:51,2012-02-13,2012-02-13,0,000,,0,0,503.00,0.00,2012-02-13,6,2
77,false,000,2018-12-27 23:05:51,2012-02-13,2012-02-13,0,000,,0,0,503.00,503.00,2012-03-13,6,2
107,false,000,2018-12-27 23:05:51,2012-03-07,2012-02-24,0,000,,0,0,271.00,271.00,2012-03-07,4,4
115,false,0033077400100000019,2018-12-27 23:05:51,2012-07-25,2012-03-07,0,0033077400100000019,,0,0,27.00,27.00,2012-07-25,6,5
116,false,000,2018-12-27 23:05:51,2012-03-22,2012-03-07,0,000,,0,0,32.90,32.90,2012-03-28,6,9
117,false,000,2018-12-27 23:05:51,2012-04-09,2012-03-21,0,000,,0,0,271.00,271.00,2012-04-09,6,4
125,false,000,2018-12-27 23:05:51,2012-02-07,2012-02-07,0,000,,0,0,271.00,271.00,2012-02-07,6,4
128,false,000,2018-12-27 23:05:51,2012-04-27,2012-02-07,0,000,,0,0,27.00,27.00,2012-03-05,6,5
129,false,000,2018-12-27 23:05:51,2012-02-27,2012-02-07,0,000,,0,0,32.90,32.90,2012-03-05,6,9
130,false,000,2018-12-27 23:05:51,2012-04-13,2012-03-20,0,000,,0,0,532.75,532.75,2012-04-13,6,2
131,false,000,2018-12-27 23:05:51,2012-04-23,2012-04-05,0,000,,0,0,51.94,51.94,2012-04-23,6,1
132,false,000,2018-12-27 23:05:51,2012-05-25,2012-04-13,0,000,parcela hd externo 04/10 parcela peneus 02/03 ,0,0,328.47,328.47,2012-04-25,6,48
133,false,000,2018-12-27 23:05:51,2012-04-25,2012-04-25,0,000,,1,2,129.21,129.21,2012-04-25,6,3
134,false,000,2018-12-27 23:05:51,2012-04-25,2012-04-07,0,000,,0,0,32.90,32.90,2012-04-27,6,9
135,false,000,2018-12-27 23:05:51,2012-04-25,2012-04-07,0,000,,0,0,27.00,27.00,2012-04-25,6,5
136,false,000,2018-12-27 23:05:51,2012-02-27,2012-02-13,0,000,,0,0,513.03,513.03,2012-02-25,6,48
137,false,000,2018-12-27 23:05:51,2012-05-14,2012-03-20,0,000,,2,4,532.75,532.75,2012-05-13,6,2
140,false,000,2018-12-27 23:05:51,2012-05-08,2012-04-23,0,000,,0,0,271.00,271.00,2012-05-08,6,4
141,false,000,2018-12-27 23:05:51,2012-05-22,2012-05-07,0,000,,0,0,56.14,56.14,2012-05-22,6,1
142,false,000,2018-12-27 23:05:51,2012-06-13,2012-03-20,0,000,,0,0,532.75,532.75,2012-06-13,6,2
143,false,000,2018-12-27 23:05:51,2012-07-13,2012-03-20,0,000,null,0,0,532.75,532.75,2012-07-13,6,2
144,false,000,2018-12-27 23:05:51,2012-05-25,2012-05-07,0,000,,0,0,27.00,27.00,2012-05-25,6,5
146,false,000,2018-12-27 23:05:51,2012-05-25,2012-05-25,0,000,02/02 auto eletrica frascareli 01/02 vitoria modas presente dona vera,0,0,129.95,129.95,2012-05-25,6,3
148,false,000,2018-12-27 23:05:51,2012-05-25,2012-05-15,0,000,05/10 extra hd externo 03/03 C.C. Rodrigues Pneus 02/02 Marisa 01/10 Celular Ricardo Eletro 01/03 Edcler Pneus,0,0,651.29,651.29,2012-05-25,6,48
149,false,000,2018-12-27 23:05:51,2012-05-25,2012-05-07,0,000,,0,0,32.90,32.90,2012-05-25,6,9
150,false,000,2018-12-27 23:05:51,2012-06-08,2012-05-23,0,000,,0,0,271.00,271.00,2012-06-08,4,4
151,false,000,2018-12-27 23:05:52,2012-06-22,2012-06-05,0,000,,0,0,44.91,44.91,2012-06-22,6,1
152,false,000,2018-12-27 23:05:52,2012-06-25,2012-06-13,0,000,,0,0,438.10,438.10,2012-06-25,6,48
153,false,000,2018-12-27 23:05:52,2012-06-25,2012-06-25,0,000,,2,2,29.95,29.95,2012-06-25,6,3
154,false,000,2018-12-27 23:05:52,2012-06-25,2012-06-07,0,000,,0,0,27.00,27.00,2012-06-25,6,5
155,false,000,2018-12-27 23:05:52,2012-06-25,2012-06-07,0,000,,0,0,32.90,32.90,2012-06-25,7,9
157,false,000,2018-12-27 23:05:52,2012-07-06,2012-06-20,0,000,,0,0,271.00,271.00,2012-07-06,7,4
158,false,000,2018-12-27 23:05:52,2012-07-23,2012-07-05,0,000,,0,0,44.76,44.76,2012-07-23,6,1
159,false,000,2018-12-27 23:05:52,2012-07-25,2012-07-25,0,000,,1,2,45.00,45.00,2012-07-25,6,3
160,false,000,2018-12-27 23:05:52,2012-07-25,2012-07-07,0,000,,0,0,32.90,32.90,2012-07-30,6,9
161,false,000,2018-12-27 23:05:52,2012-07-25,2012-07-07,0,000,,0,0,27.00,27.00,2012-07-30,6,5
162,false,000,2018-12-27 23:05:52,2012-07-25,2012-07-13,0,000,,0,0,251.43,251.43,2012-07-25,6,48
163,false,000,2018-12-27 23:05:52,2012-08-07,2012-07-19,0,000,,0,0,271.00,271.00,2012-08-07,6,4
164,false,000,2018-12-27 23:05:52,2012-08-23,2012-08-07,0,000,,0,0,32.90,32.90,2012-08-30,6,9
165,false,000,2018-12-27 23:05:52,2012-08-25,2012-08-25,0,000,,2,2,45.00,45.00,2012-08-25,6,3
166,false,000,2018-12-27 23:05:52,2012-08-23,2012-08-15,0,000,,0,0,178.80,178.80,2012-08-27,6,48
167,false,000,2018-12-27 23:05:52,2012-08-23,2012-08-06,0,000,,0,0,57.84,57.84,2012-08-22,6,1
168,false,000,2018-12-27 23:05:52,2012-08-23,2012-08-15,0,000,,1,2,49.95,49.95,2012-08-25,6,11
169,false,000,2018-12-27 23:05:52,2012-09-10,2012-08-20,0,000,,0,0,271.00,271.00,2012-09-10,6,4
170,false,000,2018-12-27 23:05:52,2012-09-13,2012-06-22,0,000,,0,0,532.75,532.75,2012-09-13,6,2
171,false,000,2018-12-27 23:05:52,2012-09-12,2012-09-12,0,000,,0,0,45.38,45.38,2012-09-24,6,1
172,false,000,2018-12-27 23:05:52,2012-09-25,2012-09-13,0,000,,0,0,159.25,159.25,2012-09-25,6,48
173,false,000,2018-12-27 23:05:52,2012-09-25,2012-09-25,0,000,,0,0,69.15,69.15,2012-09-25,6,11
174,false,000,2018-12-27 23:05:52,2012-10-05,2012-09-19,0,000,,0,0,271.00,271.00,2012-10-05,6,4
175,false,000,2018-12-27 23:05:52,2012-09-25,2012-09-07,0,000,,0,0,32.90,32.90,2012-10-02,6,9
176,false,000,2018-12-27 23:05:52,2012-08-24,2012-08-07,0,000,,0,0,27.00,27.00,2012-08-30,6,5
177,false,000,2018-12-27 23:05:52,2012-10-15,2012-06-22,0,000,,0,0,532.75,532.75,2012-10-13,6,2
178,false,000,2018-12-27 23:05:52,2012-10-25,2012-10-15,0,000,,0,0,27.00,27.00,2012-10-25,2,5
179,false,000,2018-12-27 23:05:52,2012-10-25,2012-10-15,0,000,,0,0,32.90,32.90,2012-10-25,2,9
180,false,000,2018-12-27 23:05:52,2012-11-12,2012-10-14,0,000,SEGUNDA PARCELA IPVA DO GOL,2,3,99.67,99.67,2012-11-14,6,6
181,false,000,2018-12-27 23:05:52,2012-10-17,2012-10-14,0,000,TERCERIA PARCELA DO IPVA DO GOL,3,3,99.67,99.67,2012-12-14,6,6
182,false,000,2018-12-27 23:05:52,2012-10-22,2012-10-10,0,000,,0,0,43.55,43.55,2012-10-22,6,1
