ID,NUMERO,TIPO_INFORMACAO_EXTRA_ID
24,258581,8
25,512874,9
26,0680403249,13
27,753235772,14
28,042335744,15
29,0390,16
30,190124,8
31,001958,17
32,070920,18
35,236905,8
36,370874,9
37,040022,18
38,025434,17
39,0073,16
40,0000000032,6
43,638225,8
44,270729,9
45,883892,8
46,693725,9
47,312474,9
48,184374,9
49,0944774,9
52,226343,18
53,330,6
54,094774,9
55,95663,8
56,050172,9
57,120535,18
58,939929,8
59,245753,9
60,092474,9
61,000863,12
62,004,10
63,293042,18
64,000901,12
65,007,10
66,150374,9
67,093274,9
68,102174,9
69,031636,17
70,00007,16
79,0000006081,6
80,00174315,7
81,017,2
82,0090564/009,1
83,618531,8
84,145174,9
85,000747,12
86,008,10
87,000863,12
88,004,10
89,618530,8
90,140974,9
91,838953,8
92,151374,9
93,270678,9
94,748684852,20
95,305924,8
96,353374,9
97,040031,8
98,258385,9
99,000001068,20
100,052474,9
101,000544,8
102,01674405,21
103,298518,18
104,000497,12
105,004,10
106,789862,8
107,577745,9
108,305956,8
109,571274,9
110,092774,9
111,004,10
112,000811,12
113,1,11
114,302816,18
115,138044,18
116,125345,18
117,260137,8
118,009,10
119,000747,12
120,1,11
121,312246,18
122,330,6
123,233032,18
124,092749,8
125,400034,9
126,144874,9
127,003,10
128,000886,12
129,1,11
130,293974,9
131,009,10
132,000520,12
133,1,11
134,144376,18
135,421674,9
136,020193,8
137,75153500,22
138,021139,18
139,310269,8
140,889305,9
141,528189,8
142,055913,9
143,032017,18
144,011346,17
145,236876,18
146,101174,9
152,426013233,23
153,32374,9
154,501015043,23
155,504374,9
156,552,24
157,0019410948946807860001,21
158,084574,9
159,051997,18
160,392747,9
161,181375,17
162,232083,18
163,115232,18
164,300824,8
165,055774,9
166,003,10
167,000812,12
168,1,11
169,009,10
170,000923,12
171,1,11
172,145363,18
173,121056,17
174,213274,9
175,523991,18
176,009,10
177,00933,12
178,1,11
179,000810,12
180,133474,9
181,529633,8
